"% Crown Consumed (crown volume completely consumed by fire)","% Crown Scorch (crown volume scorched/singed by the fire)","% Green Crown (% of crown area green at time of assessment)","% Trunk Burn",Address,"Address Number","Address Street","Affected Parts of the Tree",Archived,"Area of New Growth",City,Code,"Common Name",Condition,"Critical Root Zone(CRZ)","Crown Light Exposure","Crown Width (width of canopy, measured)","CRZ Ratio",Cultivar,"Data Source","Date Added","Date of Assessment","Date Planted",DBH,"DBH Range","DBH Stem 1","DBH Stem 2","DBH Stem 3","DBH Stem 4","DBH Stem 5","DBH Stem 6","Distance from Nearest Burned Structure","East Canopy Length (in.)",Family,Funder,Genus,Geometry,"GPS Latitude - (Hand Held Unit)","GPS Longitude - (Hand Held Unit)","Grant Cycle","Green Infrastructure Type","Growing Space","Has Ecobenefits","Height Range","Height to Crown Base (measurement to lowest lateral branch)","Impervious Area","Infection Severity","Inspection Cycle","Installed Irrigation","Irrigation type",Jurisdiction,"Jurisdiction (temp)","Land Use","Last Inspection","Last Modified","Last Modified User","Last Watered","Latin Name",Latitude,"Location Description",Longitude,"Maintenance Comments","Measument (A) - Distance from Eye level to Ground (ft.)","Measurment (B) - Distance from You to Trunk (ft.)","Measurment (C) - Clinometer Angle","New Fungal Activity","New Insect Activity","Next Inspection","North Canopy Length (in.)",Notes,"Number of Stems",Observations,"Paid for by","Park Name","Percent Dieback (%)",Photos,"Planting Site Width","Possible Infection?","Presence of Insulating Bark","Primary ID","Project Name","Property Address","Recovery Potential with Interventions",Size,"South Canopy Length (in.)",Status,"Structural Damage to Branches","Structures Burned","Survival Potential","Temperature Outside Tree Shade (F)","Temperature Under Tree Shade (F)","TPZ Ratio","Tree Assessor Name","Tree Comments","Tree Height (Estimated)","Tree Number","Tree Protection Zone(TPZ)","Tree Work","Trunk Burn Severity","Trunk Cambium Health",Understory,User,Watering,"Weather Conditions","West Canopy Length (in.)",Wires
,,,,"1806 East Calaveras Street",1806,"East Calaveras Street",,No,,Altadena,,"Property - Visited",,,,,,,,10/9/2025,,,,N/A,,,,,,,,,,,,0101000020110F0000C7C8B607121469C1287546BF16ED4E41,,,,,,No,N/A,,,,,,,,,,10/5/2025,10/9/2025,Marian,10/5/2025,,34.184103468915,,-118.1132266,,,,,,,,,,1,,,,,,,,,65602,"Altadena Tree Protection: Properties Served",,,,,Alive,,,,,,,,"Liquid amber - front yard along street ",,1,,,,,,Marian,,,,
,,,,"3329 Alicia Avenue",3329,"Alicia Avenue",,No,,Altadena,,"Property - Not Visited",,,,,,,,10/9/2025,,,,N/A,,,,,,,,,,,,0101000020110F0000D75983DAA71569C1AF9D8C6398F14E41,,,,,,No,N/A,,,,,,,,,,,10/9/2025,Marian,,,34.201247591818,,-118.14239119147,,,,,,,,,,1,,,,,,,,,65601,"Altadena Tree Protection: Properties Served",,,,,Alive,,,,,,,,"a very big conifer, possibly a deodar cedar",,1,,,,,,Marian,,,,
,,,,"2480 Tanoble Drive",2480,"Tanoble Drive",,No,,Altadena,,"Property - Not Visited",,,,,,,,10/9/2025,,,,N/A,,,,,,,,,,,,0101000020110F00006238516A241469C1831D053348EE4E41,,,,,,No,N/A,,,,,,,,,,,10/9/2025,Marian,,,34.188643093476,,-118.11454785427,,,,,,,,,,1,,,,,,,,,65600,"Altadena Tree Protection: Properties Served",,,,,Alive,,,,,,,,,,1,,,,,,Marian,,,,
,,,,"179 West Harriet Street",179,"West Harriet Street",,No,,Altadena,,"Property - Not Visited",,,,,,,,10/9/2025,,,,N/A,,,,,,,,,,,,0101000020110F000047718088391669C1D736814915EF4E41,,,,,,No,N/A,,,,,,,,,,,10/9/2025,Marian,,,34.191690968396,,-118.15286049147,,,,,,,,,,1,,,,,,,,,65599,"Altadena Tree Protection: Properties Served",,,,,Alive,,,,,,,,,,1,,,,,,Marian,,,,
,,,,"1016 Alta Pine Drive",1016,"Alta Pine Drive",,No,,Altadena,,"Property - Not Visited",,,,,,,,10/9/2025,,,,N/A,,,,,,,,,,,,0101000020110F0000251449A4E71469C14303588B9FF14E41,,,,,,No,N/A,,,,,,,,,,,10/9/2025,Marian,,,34.201353917137,,-118.12857784573,,,,,,,,,,1,,,,,,,,,65598,"Altadena Tree Protection: Properties Served",,,,,Alive,,,,,,,,"Redbutton, Guava, juniper, agave, lucky bamboo, and more",,1,,,,,,Marian,,,,
,,,,"3057 Glen Avenue",3057,"Glen Avenue",,No,,Altadena,,"Property - Not Visited",,,,,,,,10/9/2025,,,,N/A,,,,,,,,,,,,0101000020110F00005F63F086241669C16CAE057DA0F04E41,,,,,,No,N/A,,,,,,,,,,,10/9/2025,Marian,,,34.197563867994,,-118.1513508831,,,,,,,,,,1,,,,,,,,,65597,"Altadena Tree Protection: Properties Served",,,,,Alive,,,,,,,,"2	1 Citrus & 1 Triangle Palm",,1,,,,,,Marian,,,,
,,,,"2470 Morslay Road",2470,"Morslay Road",,No,,Altadena,,"Property - Not Visited",,,,,,,,10/9/2025,,,,N/A,,,,,,,,,,,,0101000020110F0000278542C90F1469C153EBACAD35EE4E41,,,,,,No,N/A,,,,,,,,,,,10/9/2025,Marian,,,34.18836784346,,-118.1130653372,,,,,,,,,,1,,,,,,,,,65596,"Altadena Tree Protection: Properties Served",,,,,Alive,,,,,,,,"6	liquid ambers 2  oak 3 euch.1",,1,,,,,,Marian,,,,
,,,,"3376 La Corona Avenue",3376,"La Corona Avenue",,No,,Altadena,,"Property - Not Visited",,,,,,,,10/9/2025,,,,N/A,,,,,,,,,,,,0101000020110F000047667739D41569C1BCD3CCD089F14E41,,,,,,No,N/A,,,,,,,,,,,10/9/2025,Marian,,,34.201031042499,,-118.1455799169,,,,,,,,,,1,,,,,,,,,65595,"Altadena Tree Protection: Properties Served",,,,,Alive,,,,,,,,"4	I paid to have the burned palms trimmed. The county refuse to trim the palms.",,1,,,,,,Marian,,,,
,,,,"541 East Poppyfields Drive",541,"East Poppyfields Drive",,No,,Altadena,,"Property - Not Visited",,,,,,,,10/9/2025,,,,N/A,,,,,,,,,,,,0101000020110F00003CFBD54D3F1569C1E493CD4614F04E41,,,,,,No,N/A,,,,,,,,,,,10/9/2025,Marian,,,34.195480293346,,-118.1348777169,,,,,,,,,,1,,,,,,,,,65594,"Altadena Tree Protection: Properties Served",,,,,Alive,,,,,,,,"1	Feijoa plus some bushes",,1,,,,,,Marian,,,,
,,,,"1116 East Altadena Drive",1116,"East Altadena Drive",,No,,Altadena,,"Property - Not Visited",,,,,,,,10/9/2025,,,,N/A,,,,,,,,,,,,0101000020110F0000604C1749DB1469C14BEB7F50A7EE4E41,,,,,,No,N/A,,,,,,,,,,,10/9/2025,Marian,,,34.19005664348,,-118.12768986263,,,,,,,,,,1,,,,,,,,,65593,"Altadena Tree Protection: Properties Served",,,,,Alive,,,,,,,,"1	Oak",,1,,,,,,Marian,,,,
